银行,厂商,机器型号,设备类型,操作系统,杀毒软件,是否有测试机,SP测试版本,中间件测试版本,生产使用SP版本,生产使用中间件版本,生产设备数量,银行前置P,备注
台州银行,南天,南天_4230,查询机,XP,瑞星,有,SEA_NTBST_TZYH_3_0_003,ZJAXV2_0_0_Update_004P,SEA_NTBST_TZYH_3_0_003,ZJAXV2_0_0_Update_004P,3,,已上线
台州银行,南天,南天_5230,查询机,XP,瑞星,有,,ZJAXV2_0_0_Update_004P,,ZJAXV2_0_0_Update_004P,49,,已上线
台州银行,日立,HT_2845SR,存取款一体机(CRS),XP,,有,,,,,10,,
台州银行,日立,HT_2845V,存取款一体机(CRS),XP,瑞星,有,SP100311,ZJAXV2_0_0_Update_011P_T1,SP100321,ZJAXV2_0_0_Update_010P,223,,已正式上线
泰隆银行,长城,BST306B,发卡机,WIN7,无,有,GWI SP For CEN/XFS 3.10 1.0.0.3,ZJAXV2_0_0_Update_019P,,,,,
天津滨海农商行,NCR,NCR_5887,取款机(ATM),XP SP2,暂无使用,无,5.0.1,ZJAXV2_0_0_Update_014P,5.0.1,ZJAXV2_0_0_Update_014P,7,银联商务,
天津滨海农商行,NCR,NCR_58XX,取款机(ATM),XP SP2,暂无使用,无,5.0.1,ZJAXV2_0_0_Update_014P,5.0.1,ZJAXV2_0_0_Update_014P,10,,"设备数量：10台；
该机型无测试机，中间件测试版本以之前登记为准，生产为ZJAXV2_0_0_Update_010P（add by wangxybj-2014-4-9）"
天津滨海农商行,NCR,NCR_6625,取款机(ATM),XP SP2,暂无使用,无,6.1.1,ZJAXV2_0_0_Update_014P,5.0.1,ZJAXV2_0_0_Update_014P,34,,"设备数量：14台；
该机型无测试机，中间件测试版本以之前登记为准，生产为ZJAXV2_0_0_Update_010P（add by wangxybj-2014-4-9）"
天津滨海农商行,NCR,NCR_6635,存取款一体机(CRS),XP SP2,暂无使用,无,旧设备20110819（新装机：131204）,ZJAXV2_0_0_Update_014P,NCR_XP_SP_121212(XFSSP_1.0.1.7),ZJAXV2_0_0_Update_014P,10,,"-->生产上NCR新增机器机型为6635的设备，SP安装为131204，设备量1台，中间件为ZJAXV2_0_0_Update_010P（add by wangxybj-2014-7-19）


设备数量：2台；
该设备SP未经测试部测试，经和银行沟通，暂不测试。直接在生产中试运行。试运行开始日期：2013-03-20 执行人：胡鹏
-->该机型无测试机，中间件测试版本以之前登记为准，生产为ZJAXV2_0_0_Update_010P（add by wangxybj-2014-4-9）"
天津滨海农商行,WINCOR,WINCOR_2000XE,取款机(ATM),XP,暂无使用,无,ProBase11.10,ZJAXV2_0_0_Update_014P,ProBase11.10,ZJAXV2_0_0_Update_014P,1,,"设备数量：1台；
该机型无测试机，中间件测试版本以之前登记为准，生产为ZJAXV2_0_0_Update_010P（add by wangxybj-2014-4-9）"
