银行,厂商,机器型号,设备类型,操作系统,杀毒软件,是否有测试机,SP测试版本,中间件测试版本,生产使用SP版本,生产使用中间件版本,生产设备数量,银行前置P,备注
安徽农信,NCR,NCR_58XX,取款机(ATM),,,有,5.0.1,,,,72,,
安徽农信,NCR,NCR_6622,取款机(ATM),,,有,5.0.1,,,,2,,
安徽农信,NCR,NCR_6625,取款机(ATM),,,无,5.0.1,,,,199,,
安徽农信,NCR,NCR_6633,存取款一体机(CRS),XP,无,无,,ZJAXV2_0_0_Update_012P,,,,,
安徽农信,NCR,NCR_6635,存取款一体机(CRS),XP,无,无,,ZJAXV2_0_0_Update_012P,,,,,
安徽农信,NCR,NCR_6687,存取款一体机(CRS),XP,无,无,,ZJAXV2_0_0_Update_016P,,ZJAXV2_0_0_Update_016P,,,
安徽农信,迪堡,OPTEVA_368,存取款一体机(CRS),XP SP2,,,XFS4.0.0.0_2013Y1C,ZJAXV2_0_0_Update_012P,,,,,
安徽农信,迪堡,OPTEVA_378,存取款一体机(CRS),XP,无,无,,ZJAXV2_0_0_Update_012P,,,,,
安徽农信,东信,东信_2000XE,取款机(ATM),,,,"ProBase11.10,ProBase11.20",,,,8,,
安徽农信,东信,东信_2050XE,取款机(ATM),,,,"ProBase11.10,ProBase11.20",,,,326,,
安徽农信,东信,东信_8800F,取款机(ATM),XP SP2,,,,ZJAXV2_0_0_Update_012P,,,,,
安徽农信,东信,东信_8800T,取款机(ATM),XP,无,无,,ZJAXV2_0_0_Update_012P,,,,,
安徽农信,广电,GRG_H22N,取款机(ATM),XP SP2,,,GRG SP4.3.12.63,ZJAXV2_0_0_Update_012P,GRG SP4.3.13.04.0411,,,,
安徽农信,广电,GRG_H22NL,取款机(ATM),XP,无,无,GRG SP4.3.12.63,ZJAXV2_0_0_Update_012P,,,,,
安徽农信,广电,GRG_H68N,存取款一体机(CRS),XP SP2,,,GRG SP4.3.12.63,ZJAXV2_0_0_Update_012P,GRG SP4.3.13.04.0411,,,,
安徽农信,广电,GRG_H68NL,存取款一体机(CRS),XP,无,无,GRG SP4.3.12.63,ZJAXV2_0_0_Update_012P,,,,,
安徽农信,恒银,CASH80AWG,存取款一体机(CRS),XP SP2,,,1.3.3.0,ZJAXV2_0_0_Update_012P,,,,,
安徽农信,恒银,CASH80AWI,取款机(ATM),XP SP2,,,1.3.3.0,ZJAXV2_0_0_Update_012P,,,,,
安徽农信,日立,HT_2845SR,存取款一体机(CRS),XP SP2,,,STD060405,ZJAXV2_0_0_Update_012P,,,,,
安徽农信,日立,HT_2845V,存取款一体机(CRS),,,有,SP100315,,,,623,,
安徽农信,御银,KingTeller_A4,取款机(ATM),XP SP2,,有,2.0.7,,,,1,,
安徽农信,御银,KingTeller_A4（08）,取款机(ATM),XP SP2,,有,2.0.7,,,,8,,
安徽农信,御银,KingTeller_A5（08）,取款机(ATM),XP SP2,,有,2.0.7,,,,1582,,
安徽农信,怡化,YH_6040T,存取款一体机(CRS),,,有,AHRCU072,,,,12,,
安徽农信,怡化,YH_6040W,存取款一体机(CRS),,,有,AHRCU072,,,,205,,
北京农商行,NCR,NCR_58XX,取款机(ATM),XP,趋势,有,ncr xfs511,KAL068,ncr xfs511,KAL068,342,紫金,生产SP版本：ncr xfs511
北京农商行,NCR,NCR_6622,取款机(ATM),XP,趋势,有,非触摸屏ncr xfs511，触摸屏ncr xfs611,KAL068,非触摸屏ncr xfs511，触摸屏ncr xfs611,KAL068,8,紫金,非触摸屏ncr xfs511，触摸屏ncr xfs611
北京农商行,NCR,NCR_6625,取款机(ATM),XP,趋势,有,非触摸屏ncr xfs511，触摸屏ncr xfs611,KAL068,非触摸屏ncr xfs511，触摸屏ncr xfs611,KAL068,31,紫金,非触摸屏ncr xfs511，触摸屏ncr xfs611
北京农商行,OKI,OKI_21S,存取款一体机(CRS),XP,趋势,有,1.6.0.0,KAL068,1.6.0.0,KAL068,203,紫金,
北京农商行,OKI,OKI_21SE,存取款一体机(CRS),XP,趋势,有,1.5.4.0,KAL068,1.5.4.0,KAL068,429,紫金,
北京农商行,长城湘计,湘计_306_大堂,查询机,XP,趋势,有,3.0.4,KAL075,3.0.4,KAL075,,,已投产
北京农商行,长城湘计,湘计_508_壁挂,查询机,XP,趋势,有,3.0.5,KAL075,3.0.5,KAL075,,,已投产
北京农商行,迪堡,OPTEVA_562,取款机(ATM),XP,趋势,有,Pxpp2.2.0.6,KAL068,Pxpp2.2.0.6,KAL068,,,迪堡设备数量：48台
北京农商行,东信,东信_8100,取款机(ATM),XP,趋势,有,2.0.6.2,KAL068,2.0.6.2,KAL068,19,紫金,
北京农商行,广电,H68N_CENL,存取款一体机(CRS),XP SP3,趋势,有,4.3.13.04 0227,Kal068,4.3.13.04 0227,Kal068,10,紫金,无
北京农商行,恒银,CASH39AG_JR1,查询机,XP SP3,趋势,有,1.3.1.0,Kal075,1.3.1.0,Kal075,,紫金,
北京农商行,浪潮,浪潮_1511TN,查询机,XP SP3,趋势,无,3.1.18,KAL075,3.1.18,Kal075,,,试运行一台
北京农商行,浪潮,浪潮_1711TN,查询机,XP SP3,趋势,有,3.1.18,KAL075,3.1.18,Kal075,,,测试通过，未投产
北京农商行,日立,HT_2845SR_13款,存取款一体机(CRS),XP,趋势,有,ZJHTSP_10018S,Kal068,ZJHTSP_10018S,Kal068,26,紫金,
北京农商行,日立,HT_2845V,存取款一体机(CRS),XP,趋势,有,SP100319,KAL068,SP100319,KAL068,195,紫金,设备是和美销售。14年左右改有紫金维保
北京农商行,神州数码,神码_C3004,取款机(ATM),XP,趋势,有,JXSPSetup1.1.3_C3000 Build20121114,KAL068,JXSPSetup1.1.3_C3000 Build20121114,KAL068,46,紫金,
北京农商行,神州数码,神码_C3006,取款机(ATM),XP,趋势,有,JXSPSetup1.1.3_C3000 Build20121114,KAL068,JXSPSetup1.1.3_C3000 Build20121114,KAL068,30,紫金,
北京农商行,神州数码,神码_C6000,取款机(ATM),XP,趋势,有,JXSPSetup1.1.3_C6000 Build20121114,KAL068,JXSPSetup1.1.3_C6000 Build20121114,KAL068,545,紫金,
北京农商行,神州数码,神码_C7000,存取款一体机(CRS),XP SP2,趋势,有,1.5.2,Kal068,1.5.2,Kal068,,,"生产一台，测试机留在空港
神州数码设备数量：406台"
北京农商行,证通,ZT2071_大堂,查询机,XP,趋势,有,3.0.7,KAL075,3.0.7,KAL075,,,已投产
北京农商行,证通,ZT2832_壁挂,查询机,XP,趋势,有,3.0.7,KAL075,3.0.7,KAL075,,,已投产
北京银行,NCR,NCR_5877,取款机(ATM),XP SP3,无,无,5.1.0,ZJAX,,,,,"126台

测试环境下的5877机器已拉走，并且银行打算淘汰生产上的NCR58XX系列的机器。"
北京银行,NCR,NCR_5884,取款机(ATM),XP SP3,无,无,5.1.0,ZJAX,,,,,"2台

测试环境下的5877机器已拉走，并且银行打算淘汰生产上的NCR58XX系列的机器。"
北京银行,NCR,NCR_5887,取款机(ATM),,无,无,5.1.0,ZJAX,,,,,2台
北京银行,NCR,NCR_6622,取款机(ATM),,无,有,5.1.0,ZJAX,,,,,120台
北京银行,NCR,NCR_6625,取款机(ATM),,无,无,5.1.0,ZJAX,,,,,58台
北京银行,NCR,NCR_6634,取款机(ATM),,无,无,5.1.0,ZJAX,,,,,1台
北京银行,长城,BST305,查询机,XP SP3,McAfee,有,V1.0.0.7,ZJAXV2_0_0_Update_016P,V1.0.0.3,ZJAXV2_0_0_Update_016P,3,紫金,V1.0.0.7等待投产。
北京银行,长城,BST306,查询机,XP SP3,无,有,V1.0.0.7,ZJAX,1.0.0.3,ZJAXV2_0_0_Update_016P,30,紫金,V1.0.0.7等待投产。
北京银行,长城,BST508,查询机,XP SP3,暂无使用,无,V1.0.0.7,ZJAXV2_0_0_Update_016P,,暂未投产,0,紫金,测试机设备已拉走，仍未投产。
北京银行,长城,PZ650S,取款机(ATM),,无,无,3.1.0,ZJAX,,,,,2台
北京银行,长城,PZ720,取款机(ATM),,无,有,3.1.0,ZJAX,,,,,26台
北京银行,迪堡,OPTEVA_328,存取款一体机(CRS),,无,有,Opteva-XFS-4.0.0.0-2013Y1A,ZJAX,,,,,59台
北京银行,迪堡,OPTEVA_368,存取款一体机(CRS),,无,无,Opteva-XFS-4.0.0.0-2013Y1A,ZJAX,,,,,8台
北京银行,迪堡,OPTEVA_522,取款机(ATM),,无,无,Opteva-XFS-4.0.0.0-2013Y1A,ZJAX,,,,,49台
北京银行,迪堡,OPTEVA_529,取款机(ATM),,无,无,Opteva-XFS-4.0.0.0-2013Y1A,ZJAX,,,,,25台
北京银行,迪堡,OPTEVA_562,取款机(ATM),,无,有,Opteva-XFS-4.0.0.0-2013Y1A,ZJAX,,,,,102台
北京银行,迪堡,OPTEVA_569,取款机(ATM),,无,无,Opteva-XFS-4.0.0.0-2013Y1A,ZJAX,,,,,15台
北京银行,东信,东信_2000XE,取款机(ATM),,无,有,Probase1130+SPC1212,ZJAX,,,,,15台
北京银行,恒银,CASH37AG-JR1L,查询机,XP SP3,McAfee,无,V1.0.0Update002,ZJAXV2_0_0_Update_016P,,ZJAXV2_0_0_Update_016P,0,紫金,测试机设备已拉走，仍未投产。
北京银行,恒银,CASH39AG-JRI,查询机,XP SP3,McAfee,有,V1.0.0Update002,ZJAXV2_0_0_Update_016P,V1.0.0Update001,ZJAXV2_0_0_Update_016P,3,紫金,V1.0.0Update002等待投产。
北京银行,恒银,CASH80AWI,取款机(ATM),XP SP3,无,有,1.3.3.0,ZJAX2.0,,,,宇信易诚,新机型安装包正在测试中。将随BOBJ_WSAP0206_008S投产。
北京银行,日立,HT_2845SR_12款,存取款一体机(CRS),XP,,无,,ZJAX,SP100321,ZJAX,,,
北京银行,日立,HT_2845V,存取款一体机(CRS),,无,有,SP100321,ZJAX,SP100321,ZJAX,,,216台
北京银行,神州数码,神码_C6000,取款机(ATM),,无,有,1.6.1.C,ZJAX,,,,,58台
沧州银行,东信,东信_2000XE,取款机(ATM),XP,趋势,无,ProDevice4160,ZJAXV2_0_0_Update_014P,ProDevice4160,ZJAXV2_0_0_Update_014P,75,恒生电子,2015年8月底统计：东信2000XE和2050XE设备总共：75台
沧州银行,东信,东信_2050XE,取款机(ATM),XP,趋势,无,ProDevice4160,ZJAXV2_0_0_Update_014P,ProDevice4160,ZJAXV2_0_0_Update_014P,75,恒生电子,2015年8月底统计：东信2000XE和2050XE总共75台
沧州银行,东信,东信_8100,取款机(ATM),XP,趋势,无,SP2.0.7.26,ZJAXV2_0_0_Update_014P,SP2.0.7.26,ZJAXV2_0_0_Update_014P,1,恒生电子,2015年8月底统计：东信8100共1台
沧州银行,日立,HT_2845SR,存取款一体机(CRS),XP SP3,趋势,无,ZJHTSP_10020P,ZJAXV2_0_0_Update_014P,ZJHTSP_10020P,ZJAXV2_0_0_Update_014P,95,恒生电子,2015年8月底统计：HT2845V和HT2845SR总共95台
沧州银行,日立,HT_2845V,存取款一体机(CRS),XP,趋势,无,ZJHTSP_10020P,ZJAXV2_0_0_Update_014P,ZJHTSP_10020P,ZJAXV2_0_0_Update_014P,95,恒生电子,2015年8月底统计：HT2845V和HT2845SR总共95台
稠州银行,OKI,OKI_21S,存取款一体机(CRS),,,无,,,,,8,,
稠州银行,OKI,OKI_21SE,存取款一体机(CRS),,,有,,,,,22,,
稠州银行,迪堡,OPTEVA_368,存取款一体机(CRS),,,有,,,,,9,,
稠州银行,迪堡,OPTEVA_569,取款机(ATM),,,有,,,,,5,,
稠州银行,广电,GRG_H22N,取款机(ATM),XP,,有,4.3.13.04.0266,,SP10-4.3.13.04.0266,,17,,
稠州银行,广电,GRG_H68N,存取款一体机(CRS),XP SP3,,有,4.3.13.04.0266,,SP10-4.3.13.04.0266,,14,,
稠州银行,日立,HT_2845SR-14款,存取款一体机(CRS),XP SP2,,无,,ZJAXV2_0_0_Update_021P_T3,,ZJAXV2_0_0_Update_021P_T3,1,,
稠州银行,御银,KingTeller_A5（08）,取款机(ATM),XP,,有,2.0.9,,,,83,,
稠州银行,御银,KingTeller_K1（08）,存取款一体机(CRS),XP,,有,2.0.9,,,,4,,
稠州银行,御银,KingTeller_K3,存取款一体机(CRS),XP SP2,,有,,,,,,,
东海银行,NCR,NCR_58XX,取款机(ATM),XP SP3,卡巴斯基,无,5.0.1,ZJAXV2_0_0_Update_006P,5.0.1,ZJAXV2_0_0_Update_006P_T1,4,,5887和5877各2台
东海银行,NCR,NCR_6625,取款机(ATM),XP SP3,卡巴斯基,无,5.0.1,ZJAXV2_0_0_Update_006P,5.0.1,ZJAXV2_0_0_Update_006P_T1,1,,1台
东海银行,广电,DT H22NL,取款机(ATM),XP SP3,卡巴斯基,有,GRG_XFS_SP4.0_WITH_SP10_0908,ZJAXV2_0_0_Update_006P,GRG_XFS_SP4.0_WITH_SP10_0908,ZJAXV2_0_0_Update_006P,2,,2台
东海银行,御银,KingTeller_A5（08）,取款机(ATM),XP SP3,卡巴斯基,无,2.0.9,ZJAXV2_0_0_Update_006P,2.0.9,ZJAXV2_0_0_Update_006P_T1,1,,1台
东海银行,御银,KingTeller_K1（08）,存取款一体机(CRS),XP SP3,卡巴斯基,无,2.0.9,ZJAXV2_0_0_Update_006P,2.0.9,ZJAXV2_0_0_Update_006P_T1,1,,1台
甘肃农信,LG,LG_850WS,取款机(ATM),XP SP3,无,无,SP3.0,ZJAXV2_0_0_Update_006P,SP3.0,ZJAXV2_0_0_Update_012P,6,,无
甘肃农信,WINCOR,WINCOR_2000XE,取款机(ATM),XP SP2,无,无,ProBase11.20,ZJAXV2_0_0_Update_006P,ProBase11.20,ZJAXV2_0_0_Update_012P,40,,
甘肃农信,WINCOR,WINCOR_2050XE,取款机(ATM),XP SP2,无,无,ProBase11.20,ZJAXV2_0_0_Update_006P,ProBase11.20,ZJAXV2_0_0_Update_012P,99,,
甘肃农信,北京兆维,CWFA1A,查询机,XP SP2,无,无,GSSP_V2.0,ZJAXV2_0_0_Update_006P,,ZJAXV2_0_0_Update_010P,23,,
甘肃农信,北京兆维,CWFAIB,查询机,XP SP2,无,无,GSSP_V2.0,ZJAXV2_0_0_Update_006P,GSSP_V2.0,ZJAXV2_0_0_Update_010P,13,,
甘肃农信,长城,BST306,查询机,XP SP2,无,无,GWIXFS_SP3.0 v3.2.0.3,ZJAXV2_0_0_Update_006P,GWIXFS_SP3.0 v3.2.1.2_甘肃农信自助项目基线版本,ZJAXV2_0_0_Update_010P,6,,
甘肃农信,长城,GWI312,查询机,XP SP2,无,有,GWIXFS_SP3.0 v3.2.1.2_甘肃农信自助项目基线版本,ZJAXV2_0_0_Update_006P,GWIXFS_SP3.0 v3.2.1.2_甘肃农信自助项目基线版本,ZJAXV2_0_0_Update_010P,1,,
甘肃农信,迪堡,OPTEVA_522,取款机(ATM),XP SP3,无,无,4.0.0.0_2012Q1B_Patch01,ZJAXV2_0_0_Update_006P,4.0.0.0_2012Q1B_Patch01,ZJAXV2_0_0_Update_012P,35,,
甘肃农信,迪堡,OPTEVA_529,取款机(ATM),XP SP3,无,无,4.0.0.0_2012Q1B_Patch01,ZJAXV2_0_0_Update_006P,4.0.0.0_2012Q1B_Patch01,ZJAXV2_0_0_Update_012P,65,,4.0.0.0_2012Q1B_Patch01+EOA
甘肃农信,迪堡,OPTEVA_562,取款机(ATM),XP SP3,无,无,4.0.0.0_2012Q1B_Patch01,ZJAXV2_0_0_Update_006P,4.0.0.0_2012Q1B_Patch01,ZJAXV2_0_0_Update_012P,270,,4.0.0.0_2012Q1B_Patch01+EOA
甘肃农信,迪堡,OPTEVA_562C,取款机(ATM),XP SP2,无,无,4.0.0.0_2012Q1B_Patch01,ZJAXV2_0_0_Update_006P,4.0.0.0_2012Q1B_Patch01,ZJAXV2_0_0_Update_008P_T1,467,,
甘肃农信,迪堡,OPTEVA_569,取款机(ATM),XP SP2,无,无,,ZJAXV2_0_0_Update_006P,,ZJAXV2_0_0_Update_012P,52,,
甘肃农信,东信,东信_8000,取款机(ATM),XP SP3,无,无,2.0.6.2,ZJAXV2_0_0_Update_006P,2.0.6.2,ZJAXV2_0_0_Update_012P,7,,后屏为TTU的老机器
甘肃农信,东信,东信_8100,取款机(ATM),XP SP3,无,无,2.0.6.2,ZJAXV2_0_0_Update_006P,2.0.6.2,ZJAXV2_0_0_Update_012P,111,,"SP_V2.0.6.2
SP2.0安装手册V1.0北京农商银行"
甘肃农信,广电,GRG_H68,存取款一体机(CRS),XP SP2,无,无,GRG SP4.3.12.63.0405,ZJAXV2_0_0_Update_006P,GRG SP4.3.12.63.0405,ZJAXV2_0_0_Update_012P,23,,
甘肃农信,广电,GRG_H68L,存取款一体机(CRS),XP SP2,无,无,GRG SP4.3.12.63.0405,ZJAXV2_0_0_Update_006P,GRG SP4.3.12.63.0405,ZJAXV2_0_0_Update_012P,15,,"GRG XFS SP4.0 PR3 WITH SP10.exe
GRG_XFS_SP_4.0_PR3-b12-63_HotFix4-b5.exe
广电机型：DT7000-H68, DT7000-H68L,DT7000-H68NL,DT7000-H68N"
甘肃农信,广电,GRG_H68N,存取款一体机(CRS),XP SP2,无,无,GRG SP4.3.12.63.0405,ZJAXV2_0_0_Update_006P,GRG SP4.3.12.63.0405,ZJAXV2_0_0_Update_012P,135,,
甘肃农信,广电,GRG_H68NL,存取款一体机(CRS),XP SP2,无,无,GRG SP4.3.12.63.0405,ZJAXV2_0_0_Update_006P,GRG SP4.3.12.63.0405,ZJAXV2_0_0_Update_012P,26,,"GRG XFS SP4.0 PR3 WITH SP10.exe
GRG_XFS_SP_4.0_PR3-b12-63_HotFix4-b5.exe
广电机型：DT7000-H68, DT7000-H68L,DT7000-H68NL,DT7000-H68N"
甘肃农信,国光,2031C1,查询机,XP SP2,无,无,江苏国光CEN/XFS SP(V1.3.0),ZJAXV2_0_0_Update_006P,江苏国光CEN/XFS SP(V1.3.0),ZJAXV2_0_0_Update_010P,3,,
甘肃农信,国光,NB2031B+,查询机,XP SP2,无,无,江苏国光CEN/XFS SP(V1.3.0),ZJAXV2_0_0_Update_006P,江苏国光CEN/XFS SP(V1.3.0),ZJAXV2_0_0_Update_010P,3,,
甘肃农信,恒银,CASH80ALG,存取款一体机(CRS),XP SP3,无,无,1.3.1.1,ZJAXV2_0_0_Update_006P,1.3.1.1,ZJAXV2_0_0_Update_012P,19,,
甘肃农信,恒银,CASH80AWG,存取款一体机(CRS),XP SP3,无,无,1.3.1.1,ZJAXV2_0_0_Update_006P,1.3.1.1,ZJAXV2_0_0_Update_012P,137,,
甘肃农信,迈普,ST-A02-GS,三农终端,XP SP3,,有,v1.0.0,ZJAXV2_0_0_Update_006P,,,,,
甘肃农信,南天,南天_4200,查询机,XP SP2,无,无,CIS@FSSEDriver Update 1.2.3[20140916][甘肃农信],ZJAXV2_0_0_Update_006P,CIS@FSSEDriver Update 1.2.3[20140916][甘肃农信],ZJAXV2_0_0_Update_010P,56,,
甘肃农信,南天,南天_4230,查询机,XP SP2,无,无,CIS@FSSEDriver Update 1.2.3[20140916][甘肃农信],ZJAXV2_0_0_Update_006P,CIS@FSSEDriver Update 1.2.3[20140916][甘肃农信],ZJAXV2_0_0_Update_010P,17,,
甘肃农信,瑞至海润,rich-6000,查询机,XP SP3,无,无,1.0.0.1,ZJAXV2_0_0_Update_006P,1.0.0.1,ZJAXV2_0_0_Update_010P,6,,
甘肃农信,瑞至海润,RICH-5600,查询机,XP SP3,无,有,山东瑞至海润sp安装程序(壁挂)1.0.0.1.exe,ZJAXV2_0_0_Update_006P,山东瑞至海润sp安装程序(壁挂)1.0.0.1.exe,ZJAXV2_0_0_Update_010P,1,,
甘肃农信,瑞至海润,RICH-7800,三农终端,XP SP2,无,,1.0.0.1,ZJAXV2_0_0_Update_006P,,,,,
甘肃农信,瑞至海润,RICH-7900,三农终端,,,,1.0.0.1,,,,,,
甘肃农信,瑞至海润,RICH-8200B,三农终端,,,,,,,,,,
甘肃农信,神州数码,神码_C6000,取款机(ATM),XP SP3,无,无,1.1.4b、1.6.3,ZJAXV2_0_0_Update_006P,1.6.3,ZJAXV2_0_0_Update_012P,277,,JXSPSetup1.1.4b_C6000 Build20130427(全新安装包)
甘肃农信,神州数码,神码_C7000,存取款一体机(CRS),XP SP3,无,有,1.6.4,ZJAXV2_0_0_Update_006P,1.6.4_C,ZJAXV2_0_0_Update_012P,43,,此型号包括C7000-大堂机、C7000穿墙机
甘肃农信,新达通,NDT_F2112,取款机(ATM),XP SP3,无,无,甘肃农信跨平台SP安装V1.0.0.exe,ZJAXV2_0_0_Update_006P,甘肃农信跨平台SP安装V1.0.0.exe,ZJAXV2_0_0_Update_012P,93,,甘肃农信跨平台SP安装V1.0.0.exe
甘肃农信,新达通,NDT_NF3120,取款机(ATM),XP SP3,无,无,甘肃农信跨平台SP安装V1.0.0.exe,ZJAXV2_0_0_Update_006P,甘肃农信跨平台SP安装V1.0.0.exe,ZJAXV2_0_0_Update_012P,7,,
甘肃农信,御银,KingTeller_K3,存取款一体机(CRS),XP SP2,无,无,KTWSP V2.0.9补丁1,ZJAXV2_0_0_Update_006P,2.0.9,ZJAXV2_0_0_Update_012P,8,,k3在甘肃农信有两种机芯：LG机芯和富士通机芯
甘肃农信,御银,KingTeller_K4,存取款一体机(CRS),XP SP2,无,无,2.0.9,ZJAXV2_0_0_Update_006P,,ZJAXV2_0_0_Update_012P,3,,甘肃农信只有K4-LG机芯机器
甘肃农信,怡化,YH_6040WF,存取款一体机(CRS),XP SP2,无,无,YHSP_V5.1.2.24,ZJAXV2_0_0_Update_006P,,ZJAXV2_0_0_Update_012P,0,,
甘肃农信,怡化,YH_6040WR,存取款一体机(CRS),XP SP2,无,无,YHSP_V5.1.2.24,ZJAXV2_0_0_Update_006P,YHSP_V5.1.2.24,ZJAXV2_0_0_Update_012P,9,,
赣州银行,NCR,NCR_58XX,取款机(ATM),XP,无,无,4.5.1,ZJAXV2_0_0_Update_010P,,ZJAXV2_0_0_Update_010P,7,,20151225
赣州银行,NCR,NCR_6633,存取款一体机(CRS),XP,无,无,NCR_SP150904,ZJAXV2_0_0_Update_013P,NCR_SP150904,ZJAXV2_0_0_Update_013P,3,,20151225
赣州银行,NCR,NCR_6635,存取款一体机(CRS),XP,无,有,NCR_SP130313,ZJAXV2_0_0_Update_010P,NCR_SP130313,ZJAXV2_0_0_Update_010P,52,,20151225
赣州银行,长城湘计,BST306A,查询机,XP,无,有,3.1.1,ZJAXV2_0_0_Update_006P_T1,,ZJAXV2_0_0_Update_006P_T1,57,,"20151225
大堂机"
赣州银行,长城湘计,BST312G,查询机,XP,无,无,3.1.1,ZJAXV2_0_0_Update_006P_T1,,ZJAXV2_0_0_Update_006P_T1,50,,"20151225
穿墙机"
赣州银行,迪堡,OPTEVA_529,取款机(ATM),XP,无,有,4.0.0.0_2012Q1B,ZJAXV2_0_0_Update_010P,4.0.0.0_2012Q1B,ZJAXV2_0_0_Update_010P,0,,
赣州银行,迪堡,OPTEVA_569,取款机(ATM),XP,无,无,4.0.0.0_2012Q1B,ZJAXV2_0_0_Update_010P,4.0.0.0_2012Q1B,ZJAXV2_0_0_Update_010P,58,,20151225
赣州银行,广电,GRG_H22N,取款机(ATM),XP,无,有,4.3.13.04.0106,ZJAXV2_0_0_Update_010P,,,20,,20151225
赣州银行,恒银,306A,发卡机,WIN7,无,,,,,,,,
赣州银行,日立,HT_2845SR_13款,存取款一体机(CRS),XP SP2,无,有,ZJHTSP_10018D_T1,ZJAXV2_0_0_Update_010P,,ZJAXV2_0_0_Update_010P,34,,"20151225
1台大堂，33台穿墙"
赣州银行,晓星,Monimax5600T,取款机(ATM),XP,无,,RCB(GanZhou)_WOSA_UPDATE_MX5600_SERIES(20141103),ZJAXV2_0_0_Update_010P,,,11,,"20151225
晓星5600包括有穿墙和大堂的2款；"
赣州银行,晓星,Monimax8000A,存取款一体机(CRS),XP,无,,RCB(GanZhou)_WOSA_UPDATE_MX8000A_SERIES(20141013),ZJAXV2_0_0_Update_010P,,,18,,"20151225
Monimax8000A大堂2台，Monimax8000TA穿墙16台
晓星8000包括有8000大堂和穿墙 2款；"
赣州银行,御银,御银KT1688-A5,取款机(ATM),XP,无,有,2.0.9,ZJAXV2_0_0_Update_010P,2.0.9,ZJAXV2_0_0_Update_010P,42,,20151225
赣州银行,御银,御银KT1688-K1,存取款一体机(CRS),XP,无,有,2.0.9,ZJAXV2_0_0_Update_010P,2.0.9,ZJAXV2_0_0_Update_010P,23,,20151225
工银亚洲,NCR,NCR_58XX,取款机(ATM),XP,诺顿,有,NCR XFS APTRA 5.01,KAL068,NCR XFS APTRA 5.01,KAL068,,,
工银亚洲,NCR,NCR_6622,取款机(ATM),XP,诺顿,有,NCR XFS APTRA 5.01,KAL068,NCR XFS APTRA 5.01,KAL068,,,
工银亚洲,NCR,NCR_6625,取款机(ATM),XP,诺顿,无,NCR XFS APTRA 5.01,KAL068,NCR XFS APTRA 5.01,KAL068,,,
工银亚洲,NCR,NCR_6632,存取款一体机(CRS),XP,诺顿,有,NCR XFS APTRA 5.01,KAL068,NCR XFS APTRA 5.01,KAL068,,,
工银亚洲,NCR,NCR_6632,存取款一体机(CRS),WIN7,无,有,06.01.00.02,Kal5.3_updata003,,,,,
工银亚洲,WINCOR,WINCOR_1500,取款机(ATM),XP,诺顿,有,WINCOR SP PROBASE/C 1.1,KAL068,WINCOR SP PROBASE/C 1.1,KAL068,,,
工银亚洲,WINCOR,WINCOR_2050,取款机(ATM),XP,诺顿,无,WINCOR SP PROBASE/C 1.1,KAL068,WINCOR SP PROBASE/C 1.1,KAL068,,,
工银亚洲,WINCOR,WINCOR_2100,存取款一体机(CRS),XP,诺顿,有,WINCOR SP PROBASE/C 1.1,KAL068,WINCOR SP PROBASE/C 1.1,KAL068,,,
工银亚洲,WINCOR,WINCOR_2150,存取款一体机(CRS),XP,诺顿,无,WINCOR SP PROBASE/C 1.1,KAL068,WINCOR SP PROBASE/C 1.1,KAL068,,,
光大银行,WINCOR,WINCOR_1500,取款机(ATM),XP,无,有,ProDevice4160,Kal068,ProDevice4160,KAL068/KAL030,,,设备数量：28台
光大银行,WINCOR,WINCOR_1500XE,取款机(ATM),,,,,,SP4160,KAL068,,,设备数量:313台
光大银行,WINCOR,WINCOR_2000,取款机(ATM),XP,无,无,ProDevice4160,Kal068,ProDevice4160,KAL068/KAL030,,,设备数量：24台
光大银行,WINCOR,WINCOR_2000XE,取款机(ATM),,,,,,SP4160,KAL068,,,设备数量:42台
光大银行,WINCOR,WINCOR_2050,取款机(ATM),XP,无,有,ProDevice4160,Kal068,ProDevice4160,KAL068/KAL030,,,设备数量：27台
光大银行,WINCOR,WINCOR_2050XE,取款机(ATM),,,,,,SP4160,KAL068,,,设备数量：70台
光大银行,WINCOR,WINCOR_400,取款机(ATM),XP,无,无,ProDevice4160,Kal068,ProDevice4160,KAL068/KAL030,,,设备数量：2台
光大银行,WINCOR,WINCOR_4000,存取款一体机(CRS),XP,无,有,ProbaseC,,ProbaseC,KAL068/KAL030,,,设备数量：64台
光大银行,WINCOR,WINCOR_4060,存取款一体机(CRS),XP SP3,无,有,ProBase11.20 B6,Kal068,ProBase11.20 B6,Kal068,,,设备数量：13台
光大银行,WINCOR,WINCOR_450,取款机(ATM),XP,无,无,ProDevice4160,Kal068,ProDevice4160,KAL068/KAL030,,,
光大银行,迪堡,DIEBOLD_10XX,取款机(ATM),XP,无,无,,,3.2.0.11_2009.Q2B,KAL068/KAL030,,,该机型已在生产上被淘汰！请知晓！！！
光大银行,迪堡,DIEBOLD_3030,存取款一体机(CRS),XP,无,有,,,3.2.0.11_2009.Q2B,KAL068/KAL030,,,"该机型已在生产上被淘汰！请知晓！！！
设备数量：4台"
光大银行,东信,东信_2000,取款机(ATM),,,,SP4160,,SP4160,KAL068,,,设备数量：92台
